covid1,covid2,covid3,covid4,covid5,covid6,Y
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,2
1,1,1,1,1,2,2
1,1,1,1,2,2,2
1,1,1,2,2,2,2
1,1,2,2,2,2,2
1,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,2
2,2,2,2,2,2,3
2,2,2,2,2,3,7
2,2,2,2,3,7,12
2,2,2,3,7,12,25
2,2,3,7,12,25,34
2,3,7,12,25,34,66
3,7,12,25,34,66,83
7,12,25,34,66,83,114
12,25,34,66,83,114,151
25,34,66,83,114,151,200
34,66,83,114,151,200,261
66,83,114,151,200,261,374
83,114,151,200,261,374,430
114,151,200,261,374,430,589
151,200,261,374,430,589,1204
200,261,374,430,589,1204,1639
261,374,430,589,1204,1639,2140
374,430,589,1204,1639,2140,3004
430,589,1204,1639,2140,3004,4231
589,1204,1639,2140,3004,4231,5753
1204,1639,2140,3004,4231,5753,7753
1639,2140,3004,4231,5753,7753,9191
2140,3004,4231,5753,7753,9191,11178
3004,4231,5753,7753,9191,11178,13716
4231,5753,7753,9191,11178,13716,17147
5753,7753,9191,11178,13716,17147,19980
7753,9191,11178,13716,17147,19980,24926
9191,11178,13716,17147,19980,24926,28572
11178,13716,17147,19980,24926,28572,33089
13716,17147,19980,24926,28572,33089,39673
17147,19980,24926,28572,33089,39673,47610
19980,24926,28572,33089,39673,47610,56188
24926,28572,33089,39673,47610,56188,64059
28572,33089,39673,47610,56188,64059,72248
33089,39673,47610,56188,64059,72248,78797
39673,47610,56188,64059,72248,78797,85195
47610,56188,64059,72248,78797,85195,94417
56188,64059,72248,78797,85195,94417,102136
64059,72248,78797,85195,94417,102136,110238
72248,78797,85195,94417,102136,110238,117710
78797,85195,94417,102136,110238,117710,124736
