covid1,covid2,covid3,covid4,covid5,covid6,Y
3,3,3,3,17,79,132
3,3,3,17,79,132,229
3,3,17,79,132,229,322
3,17,79,132,229,322,400
17,79,132,229,322,400,650
79,132,229,322,400,650,888
132,229,322,400,650,888,1128
229,322,400,650,888,1128,1689
322,400,650,888,1128,1689,1835
400,650,888,1128,1689,1835,2502
650,888,1128,1689,1835,2502,3089
888,1128,1689,1835,2502,3089,3858
1128,1689,1835,2502,3089,3858,4636
1689,1835,2502,3089,3858,4636,5883
1835,2502,3089,3858,4636,5883,7375
2502,3089,3858,4636,5883,7375,9172
3089,3858,4636,5883,7375,9172,10149
3858,4636,5883,7375,9172,10149,12462
4636,5883,7375,9172,10149,12462,15113
5883,7375,9172,10149,12462,15113,17660
7375,9172,10149,12462,15113,17660,17750
9172,10149,12462,15113,17660,17750,23980
10149,12462,15113,17660,17750,23980,27980
12462,15113,17660,17750,23980,27980,31506
15113,17660,17750,23980,27980,31506,35713
17660,17750,23980,27980,31506,35713,41035
17750,23980,27980,31506,35713,41035,47021
23980,27980,31506,35713,41035,47021,53578
27980,31506,35713,41035,47021,53578,59138
31506,35713,41035,47021,53578,59138,63927
35713,41035,47021,53578,59138,63927,69176
41035,47021,53578,59138,63927,69176,74386
47021,53578,59138,63927,69176,74386,80539
53578,59138,63927,69176,74386,80539,86498
59138,63927,69176,74386,80539,86498,92472
