cases1,cases2,cases3,cases4,cases5,cases6,cases7,Y
0,1,1,1,1,2,2,3
1,1,1,1,2,2,3,8
1,1,1,2,2,3,8,13
1,1,2,2,3,8,13,13
1,2,2,3,8,13,13,25
2,2,3,8,13,13,25,34
2,3,8,13,13,25,34,52
3,8,13,13,25,34,52,77
8,13,13,25,34,52,77,98
13,13,25,34,52,77,98,121
13,25,34,52,77,98,121,200
25,34,52,77,98,121,200,234
34,52,77,98,121,200,234,291
52,77,98,121,200,234,291,428
77,98,121,200,234,291,428,621
98,121,200,234,291,428,621,904
121,200,234,291,428,621,904,1128
200,234,291,428,621,904,1128,1546
234,291,428,621,904,1128,1546,1891
291,428,621,904,1128,1546,1891,2201
428,621,904,1128,1546,1891,2201,2433
621,904,1128,1546,1891,2201,2433,2915
904,1128,1546,1891,2201,2433,2915,3417
1128,1546,1891,2201,2433,2915,3417,3904
