covid1,covid2,covid3,covid4
3,3,3,17
3,3,17,79
3,17,79,132
17,79,132,229
79,132,229,322
132,229,322,400
229,322,400,650
322,400,650,888
400,650,888,1128
650,888,1128,1689
888,1128,1689,1835
1128,1689,1835,2502
1689,1835,2502,3089
1835,2502,3089,3858
2502,3089,3858,4636
3089,3858,4636,5883
3858,4636,5883,7375
4636,5883,7375,9172
5883,7375,9172,10149
7375,9172,10149,12462
9172,10149,12462,15113
10149,12462,15113,17660
12462,15113,17660,17750
15113,17660,17750,23980
17660,17750,23980,27980
17750,23980,27980,31506
23980,27980,31506,35713
27980,31506,35713,41035
31506,35713,41035,47021
35713,41035,47021,53578
